Source Node,Breadcrumb Path,Content Type,URL,Title,Author,File Type,Size
treeitem-70be9a25-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 1. Mathematische Voraussetzungen,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_1.1_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_1.1_ETG_AM,Schrack for Students,pdf,380 KB
treeitem-9a40eb4e-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 1. Mathematische Voraussetzungen,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_1.2_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_1.2_ETG_AM,Schrack for Students,pdf,284 KB
treeitem-6fd48f5a-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 1. Mathematische Voraussetzungen,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_1.3_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_1.3_ETG_AM,Schrack for Students,pdf,324 KB
treeitem-273683a3-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 1. Mathematische Voraussetzungen,YouTube,https://www.youtube.com/embed/H7WzSiZOauA?wmode=transparent&hl=de&rel=0,YouTube Video (H7WzSiZOauA),,video,
treeitem-273683a3-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 1. Mathematische Voraussetzungen,YouTube,https://www.youtube.com/embed/139a-RJGMs8?wmode=transparent&hl=de&rel=0,YouTube Video (139a-RJGMs8),,video,
treeitem-273683a3-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 1. Mathematische Voraussetzungen,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_1.4_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_1.4_ETG_AM,Schrack for Students,pdf,343 KB
treeitem-19a8f901-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 1. Mathematische Voraussetzungen,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_1.5_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_1.5_ETG_AM,Schrack for Students,pdf,216 KB
treeitem-05bbbad1-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023,YouTube,https://www.youtube.com/embed/VpLznQSe69o?wmode=transparent&hl=de&rel=0,YouTube Video (VpLznQSe69o),,video,
treeitem-728e29d1-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 3. Arbeit und Leistung,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_3.1_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_3.1_ETG_AM,Schrack for Students,pdf,315 KB
treeitem-4c55a3f9-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 3. Arbeit und Leistung,YouTube,https://www.youtube.com/embed/UheIEjVM53o?wmode=transparent&hl=de&rel=0,YouTube Video (UheIEjVM53o),,video,
