Source Node,Breadcrumb Path,Content Type,URL,Title,Author,File Type,Size,URL Valid
treeitem-70be9a25-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 1. Mathematische Voraussetzungen,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_1.1_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_1.1_ETG_AM,Schrack for Students,pdf,380 KB,Valid
treeitem-9a40eb4e-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 1. Mathematische Voraussetzungen,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_1.2_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_1.2_ETG_AM,Schrack for Students,pdf,284 KB,Valid
treeitem-6fd48f5a-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 1. Mathematische Voraussetzungen,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_1.3_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_1.3_ETG_AM,Schrack for Students,pdf,324 KB,Valid
treeitem-273683a3-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 1. Mathematische Voraussetzungen,YouTube,https://www.youtube.com/embed/H7WzSiZOauA?wmode=transparent&hl=de&rel=0,YouTube Video (H7WzSiZOauA),,video,,Valid
treeitem-273683a3-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 1. Mathematische Voraussetzungen,YouTube,https://www.youtube.com/embed/139a-RJGMs8?wmode=transparent&hl=de&rel=0,YouTube Video (139a-RJGMs8),,video,,Valid
treeitem-273683a3-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 1. Mathematische Voraussetzungen,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_1.4_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_1.4_ETG_AM,Schrack for Students,pdf,343 KB,Valid
treeitem-19a8f901-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 1. Mathematische Voraussetzungen,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_1.5_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_1.5_ETG_AM,Schrack for Students,pdf,216 KB,Valid
treeitem-05bbbad1-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023,YouTube,https://www.youtube.com/embed/VpLznQSe69o?wmode=transparent&hl=de&rel=0,YouTube Video (VpLznQSe69o),,video,,Valid
treeitem-1712ec9f-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/pCgitIoRpv8?wmode=transparent&hl=de&rel=0,YouTube Video (pCgitIoRpv8),,video,,Valid
treeitem-1712ec9f-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/59-4Auu8mxM?wmode=transparent&hl=de&rel=0,YouTube Video (59-4Auu8mxM),,video,,Valid
treeitem-1712ec9f-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,https://www.physik.fu-berlin.de/studium/lehre/gp/dateien/skripte/MP_Skripte/Elektrizitaet/Einfuehrung_Elektrizitaet.pdf,Einführung in die Elektrizität,,pdf,601 KB,Valid
treeitem-1712ec9f-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.1_2.2_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.1_2.2_ETG_AM,Schrack for Students,pdf,473 KB,Valid
treeitem-2daf88c5-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/zaigRX4M1KU?wmode=transparent&hl=de&rel=0,YouTube Video (zaigRX4M1KU),,video,,Valid
treeitem-2daf88c5-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.1_2.2_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.1_2.2_ETG_AM,Schrack for Students,pdf,473 KB,Valid
treeitem-6bd6d3ce-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/rtQoEw3H_F8?wmode=transparent&hl=de&rel=0,YouTube Video (rtQoEw3H_F8),,video,,Valid
treeitem-6bd6d3ce-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/2x-NTqIuG_4?wmode=transparent&hl=de&rel=0,YouTube Video (2x-NTqIuG_4),,video,,Valid
treeitem-6bd6d3ce-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.3_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.3_ETG_AM,Schrack for Students,pdf,348 KB,Valid
treeitem-5d53966e-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/7VtViFL1KKI?wmode=transparent&hl=de&rel=0,YouTube Video (7VtViFL1KKI),,video,,Valid
treeitem-5d53966e-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/DKPEmp4isXA?wmode=transparent&hl=de&rel=0,YouTube Video (DKPEmp4isXA),,video,,Valid
treeitem-5d53966e-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/1BTGSq7Daus?wmode=transparent&hl=de&rel=0,YouTube Video (1BTGSq7Daus),,video,,Valid
treeitem-5d53966e-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.4_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.4_ETG_AM,Schrack for Students,pdf,498 KB,Valid
treeitem-cca98154-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/mJXN5m8D0Ms?wmode=transparent&hl=de&rel=0,YouTube Video (mJXN5m8D0Ms),,video,,Valid
treeitem-cca98154-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,YouTube,https://www.youtube.com/embed/DVPFuvtWpek?wmode=transparent&hl=de&rel=0,YouTube Video (DVPFuvtWpek),,video,,Valid
treeitem-cca98154-label,Schrack4Students > AT > Bücher > Elektrotechnik Grundlagen mit angewandter Mathematik 2023 > 2. Allgemeine Elektrotechnik,ExternalLink,"https://sfsrgproddiagnostics.file.core.windows.net/assets-production/dynamic_assets/ZF_2.5_2.6_ETG_AM.pdf?sv=2019-02-02&ss=f&srt=o&sp=r&se=2050-12-13T18:28:35Z&st=2019-12-13T10:28:35Z&spr=https,http&sig=Nh8ZxCMQSl8zg2AmJEallKUaZygzeBuTzJlFjVcNdYs%3D",ZF_2.5_2.6_ETG_AM,Schrack for Students,pdf,517 KB,Valid
